Time,Year,Month,Day,Hour,Minute,Second,Temperature  [2 m above gnd]
02/01/2020 00:00,2020,1,2,0,0,0,6.73
02/01/2020 01:00,2020,1,2,1,0,0,6.78
02/01/2020 02:00,2020,1,2,2,0,0,6.85
02/01/2020 03:00,2020,1,2,3,0,0,6.9
02/01/2020 04:00,2020,1,2,4,0,0,6.93
02/01/2020 05:00,2020,1,2,5,0,0,7.02
02/01/2020 06:00,2020,1,2,6,0,0,7.03
02/01/2020 07:00,2020,1,2,7,0,0,6.96
02/01/2020 08:00,2020,1,2,8,0,0,6.45
02/01/2020 09:00,2020,1,2,9,0,0,6.32
02/01/2020 10:00,2020,1,2,10,0,0,6.85
02/01/2020 11:00,2020,1,2,11,0,0,7.48
02/01/2020 12:00,2020,1,2,12,0,0,7.98
02/01/2020 13:00,2020,1,2,13,0,0,9.16
02/01/2020 14:00,2020,1,2,14,0,0,9.76
02/01/2020 15:00,2020,1,2,15,0,0,10
02/01/2020 16:00,2020,1,2,16,0,0,10.1
02/01/2020 17:00,2020,1,2,17,0,0,9.44
02/01/2020 18:00,2020,1,2,18,0,0,9.26
02/01/2020 19:00,2020,1,2,19,0,0,9.46
02/01/2020 20:00,2020,1,2,20,0,0,9.67
02/01/2020 21:00,2020,1,2,21,0,0,9.59
02/01/2020 22:00,2020,1,2,22,0,0,9.44
02/01/2020 23:00,2020,1,2,23,0,0,9.52
03/01/2020 00:00,2020,1,3,0,0,0,9.5
03/01/2020 01:00,2020,1,3,1,0,0,9.6
03/01/2020 02:00,2020,1,3,2,0,0,9.29
03/01/2020 03:00,2020,1,3,3,0,0,9.18
03/01/2020 04:00,2020,1,3,4,0,0,8.83
03/01/2020 05:00,2020,1,3,5,0,0,9.09
03/01/2020 06:00,2020,1,3,6,0,0,8.82
03/01/2020 07:00,2020,1,3,7,0,0,8.74
03/01/2020 08:00,2020,1,3,8,0,0,9.01
03/01/2020 09:00,2020,1,3,9,0,0,8.91
03/01/2020 10:00,2020,1,3,10,0,0,7.54
03/01/2020 11:00,2020,1,3,11,0,0,7.06
03/01/2020 12:00,2020,1,3,12,0,0,7.39
03/01/2020 13:00,2020,1,3,13,0,0,8.33
03/01/2020 14:00,2020,1,3,14,0,0,8.62
03/01/2020 15:00,2020,1,3,15,0,0,8.13
03/01/2020 16:00,2020,1,3,16,0,0,7.9
03/01/2020 17:00,2020,1,3,17,0,0,6.89
03/01/2020 18:00,2020,1,3,18,0,0,6.26
03/01/2020 19:00,2020,1,3,19,0,0,5.74
03/01/2020 20:00,2020,1,3,20,0,0,5.37
03/01/2020 21:00,2020,1,3,21,0,0,4.95
03/01/2020 22:00,2020,1,3,22,0,0,4.5
03/01/2020 23:00,2020,1,3,23,0,0,4.04
04/01/2020 00:00,2020,1,4,0,0,0,3.46
04/01/2020 01:00,2020,1,4,1,0,0,3
04/01/2020 02:00,2020,1,4,2,0,0,2.58
04/01/2020 03:00,2020,1,4,3,0,0,2.17
04/01/2020 04:00,2020,1,4,4,0,0,1.87
04/01/2020 05:00,2020,1,4,5,0,0,1.79
04/01/2020 06:00,2020,1,4,6,0,0,1.47
04/01/2020 07:00,2020,1,4,7,0,0,1.31
04/01/2020 08:00,2020,1,4,8,0,0,1.51
04/01/2020 09:00,2020,1,4,9,0,0,1.73
04/01/2020 10:00,2020,1,4,10,0,0,2.55
04/01/2020 11:00,2020,1,4,11,0,0,3.8
04/01/2020 12:00,2020,1,4,12,0,0,4.93
04/01/2020 13:00,2020,1,4,13,0,0,5.41
04/01/2020 14:00,2020,1,4,14,0,0,6.9
04/01/2020 15:00,2020,1,4,15,0,0,7.81
04/01/2020 16:00,2020,1,4,16,0,0,7.75
04/01/2020 17:00,2020,1,4,17,0,0,7.68
04/01/2020 18:00,2020,1,4,18,0,0,7.52
04/01/2020 19:00,2020,1,4,19,0,0,7.34
04/01/2020 20:00,2020,1,4,20,0,0,6.89
04/01/2020 21:00,2020,1,4,21,0,0,6.75
04/01/2020 22:00,2020,1,4,22,0,0,6.29
04/01/2020 23:00,2020,1,4,23,0,0,5.88
05/01/2020 00:00,2020,1,5,0,0,0,5.48
05/01/2020 01:00,2020,1,5,1,0,0,4.83
05/01/2020 02:00,2020,1,5,2,0,0,4.45
